Source,Target,Type,Kind,Id,Label,Weight,Dénominations
10697,11903,Undirected,,367,,1,
11405,11903,Undirected,,368,,1,
11069,11903,Undirected,,369,,1,
10839,11903,Undirected,Ex-Collaboration,370,,1,
11601,11903,Undirected,,371,,1,
11601,10528,Undirected,,372,,1,
11405,10528,Undirected,,373,,1,
12012,10807,Undirected,,375,,1,
12012,10839,Undirected,Famille,376,,1,
12028,13082,Undirected,,377,,1,
12028,11284,Undirected,Famille,378,,1,
12028,11915,Undirected,Ancienne école,379,,1,
11998,13800,Undirected,Ex-Collaboration,380,,1,
11998,10338,Undirected,Proche,381,,1,
11998,10976,Undirected,Proche,382,,1,
11998,11180,Undirected,Famille,383,,1,
11490,11181,Undirected,Famille,384,,1,
10971,13090,Undirected,,385,,1,
10971,10329,Undirected,,386,,1,
10971,11341,Undirected,,387,,1,
10971,13766,Undirected,,388,,1,
10972,13109,Undirected,,389,,1,
10972,11123,Undirected,,390,,1,
10972,11125,Undirected,,391,,1,
10972,13122,Undirected,Famille,392,,1,
10972,11664,Undirected,En Couple,393,,1,
10973,10859,Undirected,,394,,1,
10973,10767,Undirected,,395,,1,
10973,11691,Undirected,,396,,1,
10974,12680,Undirected,,397,,1,
10975,13784,Undirected,,398,,1,
10975,11683,Undirected,,399,,1,
10975,12008,Undirected,En Couple,400,,1,
10979,12015,Undirected,,401,,1,
10979,10573,Undirected,,402,,1,
10981,12915,Undirected,,403,,1,
10981,13802,Undirected,,404,,1,
10966,11339,Undirected,,405,,1,
10966,10739,Undirected,Famille,406,,1,
10969,11682,Undirected,,407,,1,
10969,11353,Undirected,,408,,1,
10837,11339,Undirected,,409,,1,
11391,11302,Undirected,,410,,1,
11391,11539,Undirected,,411,,1,
11391,13803,Undirected,Ex-Collaboration,412,,1,
13798,12102,Undirected,,413,,1,
13798,11983,Undirected,,414,,1,
13798,13317,Undirected,,415,,1,
13798,11765,Undirected,Parrain/Filleul,416,,1,
13380,13804,Undirected,,417,,1,
13380,10962,Undirected,En Couple,418,,1,
13380,12083,Undirected,,419,,1,
13380,10687,Undirected,,420,,1,
13380,11659,Undirected,,421,,1,
13380,13805,Undirected,,422,,1,
13181,13810,Undirected,,457,,1,
13380,13011,Undirected,Ex-Collaboration,424,,1,
13380,13807,Undirected,Actionnaire,425,,1,
13380,10687,Undirected,,426,,1,
13379,10705,Undirected,,427,,1,
13379,10914,Undirected,,428,,1,
13374,11821,Undirected,,429,,1,
13374,11341,Undirected,,430,,1,
13374,10988,Undirected,,431,,1,
13374,10851,Undirected,,432,,1,
13374,10329,Undirected,,433,,1,
13374,10331,Undirected,,434,,1,
13374,11679,Undirected,,435,,1,
13374,11947,Undirected,En Couple,436,,1,
13374,12119,Undirected,,437,,1,
13374,11983,Undirected,,438,,1,
13351,11659,Undirected,,439,,1,
13351,11659,Undirected,,440,,1,
13351,11714,Undirected,,441,,1,
13351,10988,Undirected,,442,,1,
13352,10882,Undirected,Ex-Collaboration,443,,1,
13352,10835,Undirected,,444,,1,
13352,10652,Undirected,Ex-Collaboration,445,,1,
13352,10656,Undirected,,446,,1,
13352,11168,Undirected,Famille,447,,1,
